,K-Means,,,,,,,,,,Fuzzy C-Means,,,,,,,,
,2,3,4,5,6,7,8,9,10,,2,3,4,5,6,7,8,9,10
Project 1,0.65371,0.64265,0.54335,0.42131,0.38459,0.42505,0.34692,0.30975,0.32083,,0.65167,0.63403,0.54335,0.41486,0.42107,0.43238,0.35166,0.41247,0.40503
Project 2,0.69095,0.6233,0.65013,0.56523,0.58233,0.4677,0.42559,0.37336,0.45943,,0.66486,0.6233,0.65175,0.58021,0.40365,0.41035,0.43721,0.3909,0.3922
Project 3,0.79508,0.71052,0.6551,0.46538,0.44589,0.41627,0.38768,0.39216,0.34654,,0.71774,0.68046,0.59859,0.55647,0.45952,0.42001,0.45829,0.38289,0.41366
Project 4,0.74975,0.66646,0.60688,0.54846,0.47489,0.45596,0.38531,0.43857,0.41142,,0.72728,0.66198,0.58676,0.48568,0.44429,0.42749,0.41103,0.4076,0.39849
Project 5,0.78211,0.73281,0.57565,0.55602,0.42,0.5015,0.40917,0.37211,0.35974,,0.76858,0.67642,0.56862,0.51622,0.45768,0.42731,0.41479,0.39156,0.38452
Project 6,0.7973,0.75226,0.7542,0.53859,0.55795,0.53155,0.40914,0.4237,0.47514,,0.7973,0.67774,0.52404,0.53382,0.49844,0.50051,0.42939,0.39243,0.37602
Project 7,0.89013,0.64851,0.51524,0.58964,0.57637,0.53682,0.57385,0.34567,0.37984,,0.89013,0.66763,0.62738,0.53048,0.55777,0.50556,0.33658,0.28197,0.45148
Project 8,0.90227,0.72991,0.55229,0.4334,0.43405,0.45465,0.48624,0.34976,0.36029,,0.87845,0.66051,0.54081,0.44392,0.41597,0.37996,0.38323,0.31274,0.32673
Project 9,0.9034,0.66729,0.63661,0.53354,0.55288,0.49129,0.48477,0.39987,0.41096,,0.89368,0.63864,0.56742,0.51559,0.47779,0.40439,0.40883,0.38642,0.34279
Project 10,0.97559,0.85753,0.65039,0.56054,0.57812,0.50526,0.50036,0.36801,0.43106,,0.92602,0.69537,0.60226,0.54372,0.53587,0.48839,0.42408,0.42144,0.40531
Project 11,0.9784,0.84173,0.70683,0.64371,0.50916,0.54406,0.37137,0.41852,0.38599,,0.94968,0.77663,0.63249,0.56627,0.5292,0.48185,0.43512,0.44362,0.38167
Project 12,0.75504,0.48629,0.45614,0.39986,0.40407,0.37436,0.41959,0.28846,0.40347,,0.75504,0.54104,0.469,0.44908,0.41884,0.36363,0.44047,0.4437,0.39464
Project 13,0.89908,0.59336,0.46862,0.40372,0.46325,0.43764,0.41001,0.36354,0.3626,,0.89908,0.59336,0.54254,0.51655,0.48741,0.43056,0.38874,0.37721,0.39056
Project 14,0.86826,0.68881,0.6652,0.50784,0.46084,0.35478,0.31587,0.29421,0.2667,,0.9082,0.68683,0.66877,0.5022,0.50974,0.4528,0.45044,0.4089,0.35285
Project 15,0.97953,0.78138,0.7498,0.58684,0.54819,0.55654,0.46496,0.42368,0.33044,,0.97953,0.7597,0.75239,0.64779,0.54766,0.58133,0.52775,0.51113,0.47939
Project 16,0.90681,0.79806,0.74701,0.64483,0.55941,0.46777,0.49814,0.44573,0.41708,,0.88571,0.74628,0.69068,0.56247,0.54057,0.54218,0.48035,0.42137,0.4227
Project 17,0.94085,0.83374,0.79662,0.63775,0.51678,0.34684,0.4659,0.36434,0.38074,,0.94447,0.79535,0.7331,0.62307,0.62155,0.51244,0.50157,0.47593,0.47628
Project 18,0.94959,0.7968,0.66118,0.55913,0.49651,0.46506,0.36021,0.33642,0.30131,,0.94959,0.80822,0.80568,0.65758,0.64403,0.53108,0.50556,0.51548,0.50335
Project 19,0.94824,0.78808,0.672,0.57559,0.49962,0.45381,0.41233,0.35275,0.35536,,0.94824,0.78968,0.70793,0.6047,0.59775,0.52321,0.52432,0.47308,0.48068
Project 20,0.9683,0.94871,0.81094,0.60788,0.5326,0.48448,0.4268,0.35975,0.33323,,0.97248,0.92765,0.81866,0.6048,0.58276,0.50283,0.52394,0.48346,0.52826
Project 21,0.97748,0.90096,0.72208,0.61898,0.52364,0.5768,0.46578,0.39135,0.3764,,0.97748,0.91606,0.7547,0.61229,0.61677,0.55502,0.48692,0.4868,0.48937
Project 22,0.88227,0.60848,0.48891,0.54501,0.52121,0.45001,0.38457,0.45085,0.37632,,0.88227,0.60848,0.60925,0.53731,0.53818,0.44879,0.4383,0.41964,0.3436
Project 23,0.68568,0.54596,0.51494,0.50268,0.47155,0.47916,0.42549,0.39136,0.32721,,0.66546,0.55516,0.51415,0.49976,0.46601,0.39799,0.38443,0.35959,0.3336
Project 24,0.61525,0.53623,0.52351,0.52913,0.44807,0.43232,0.4367,0.39782,0.33461,,0.61445,0.56393,0.51744,0.5316,0.44228,0.38891,0.40645,0.32416,0.34211
Project 25,0.95533,0.62813,0.56661,0.49029,0.4899,0.40892,0.40935,0.43239,0.38628,,0.71419,0.61163,0.52539,0.50006,0.48251,0.50137,0.39431,0.38828,0.39849
Project 26,0.84557,0.69075,0.59495,0.54037,0.51396,0.49451,0.38573,0.37709,0.36733,,0.90081,0.62644,0.58626,0.52138,0.47851,0.46478,0.44804,0.4133,0.3447
Project 27,0.88091,0.67431,0.64073,0.50406,0.48068,0.48031,0.34972,0.44062,0.38394,,0.90906,0.63634,0.6154,0.50251,0.47442,0.43525,0.41653,0.39556,0.4126
Project 28,0.90835,0.71017,0.70629,0.64355,0.59825,0.48553,0.48277,0.40025,0.36116,,0.90835,0.72198,0.63903,0.59483,0.48353,0.45955,0.46872,0.45701,0.39011
Project 29,0.58307,0.53563,0.53513,0.46477,0.45498,0.37135,0.40349,0.45005,0.32257,,0.65518,0.54696,0.53357,0.53237,0.48332,0.38923,0.39859,0.3882,0.41823
Project 30,0.76661,0.67439,0.52812,0.48358,0.37069,0.45816,0.32832,0.40004,0.27047,,0.86092,0.67439,0.62112,0.57081,0.49373,0.41312,0.37391,0.43185,0.38985
Project 31,0.88047,0.73759,0.67157,0.56844,0.5861,0.59241,0.49486,0.3719,0.38014,,0.83736,0.71398,0.63028,0.58415,0.51273,0.49368,0.46385,0.43693,0.37275
Project 32,0.99213,0.93555,0.89502,0.80122,0.71894,0.5303,0.49002,0.37871,0.37494,,0.98332,0.88108,0.75737,0.63639,0.56661,0.60754,0.39654,0.38607,0.3783
Project 33,0.89015,0.88462,0.69247,0.57211,0.56616,0.37273,0.39219,0.35551,0.31632,,0.87816,0.73012,0.58936,0.51694,0.47964,0.43965,0.39182,0.36972,0.34072
Project 34,0.90314,0.79652,0.78888,0.61559,0.52165,0.40882,0.37475,0.31976,0.34804,,0.88769,0.7784,0.64478,0.56006,0.5013,0.4505,0.45019,0.36224,0.36578
Project 35,0.93566,0.8193,0.70112,0.55371,0.57042,0.45093,0.43271,0.40066,0.3421,,0.86379,0.74892,0.54782,0.47683,0.43799,0.41745,0.36275,0.34797,0.33267
Project 36,0.63817,0.55604,0.47267,0.49763,0.4189,0.45176,0.45561,0.42699,0.45034,,0.62247,0.53792,0.46728,0.40517,0.41806,0.38404,0.38525,0.36624,0.27953
Project 37,0.70493,0.59974,0.56087,0.51688,0.52713,0.47029,0.45615,0.47624,0.43748,,0.64007,0.52007,0.51648,0.40184,0.46575,0.45359,0.44932,0.39121,0.47361
Project 38,0.87835,0.69464,0.44647,0.48053,0.46438,0.42095,0.45122,0.46533,0.35475,,0.87835,0.69464,0.61725,0.60229,0.4581,0.45223,0.39462,0.39355,0.37412
Project 39,0.65201,0.61887,0.59241,0.56856,0.50253,0.42569,0.42108,0.36462,0.32545,,0.69406,0.61887,0.57498,0.58021,0.54268,0.47288,0.45415,0.43133,0.43159
Project 40,0.7172,0.51838,0.3321,0.49085,0.37068,0.37547,0.23358,0.29326,-0.0433,,0.7172,0.30844,0.51718,0.46971,0.50152,0.28338,0.2779,0.32501,0.22756
Project 41,0.65947,0.63359,0.51619,0.45223,0.44221,0.40451,0.38054,0.38552,0.32743,,0.64733,0.47349,0.40127,0.4301,0.32259,0.38831,0.37023,0.31744,0.35136
Project 42,0.65795,0.4681,0.50499,0.50721,0.51849,0.46521,0.39853,0.34778,0.3338,,0.64668,0.44892,0.51261,0.47672,0.43518,0.37583,0.33517,0.34633,0.3152
Project 43,0.68143,0.66742,0.51123,0.52324,0.48964,0.47795,0.39776,0.3575,0.37603,,0.66572,0.48528,0.50435,0.46898,0.44191,0.3942,0.37243,0.34946,0.36798
Project 44,0.8395,0.7484,0.57702,0.58338,0.39423,0.47297,0.46439,0.33612,0.37623,,0.87164,0.7484,0.58444,0.59158,0.60942,0.58711,0.436,0.4142,0.41694
Project 45,0.52842,0.58708,0.36334,0.25077,0.39527,0.38074,0.27535,0.14856,0.23624,,0.54545,0.33961,0.30832,0.39712,0.45553,0.33889,0.42749,0.20448,0.22169
Project 46,0.89096,0.74568,0.62776,0.5449,0.50545,0.42721,0.40316,0.41341,0.42944,,0.77504,0.74568,0.62776,0.53945,0.5106,0.43299,0.40357,0.42805,0.41116
Project 47,0.94419,0.79395,0.69173,0.57863,0.6092,0.58816,0.52899,0.48835,0.46214,,0.83023,0.76828,0.68922,0.58781,0.572,0.5407,0.54007,0.48698,0.48895
Project 48,0.97349,0.69342,0.53051,0.56747,0.56018,0.55203,0.47302,0.51022,0.45982,,0.97349,0.66785,0.5518,0.52379,0.51493,0.55681,0.4887,0.45551,0.44232
Project 49,0.97349,0.63509,0.60256,0.61539,0.52994,0.46407,0.55492,0.50401,0.41143,,0.97349,0.62746,0.59212,0.58187,0.53181,0.52816,0.5296,0.49415,0.4468
Project 50,0.92825,0.86366,0.53186,0.23498,0.57275,0.39079,0.31102,0.35521,0.27378,,0.92825,0.86366,0.52869,0.57085,0.57172,0.56352,0.41955,0.48128,0.33548
Project 51,0.64678,0.55348,0.48138,0.48163,0.37405,0.39341,0.39265,0.22335,0.29671,,0.64678,0.48423,0.45558,0.5971,0.53392,0.35379,0.42498,0.45539,0.3727
Project 52,0.87312,0.82812,0.77323,0.64384,0.65237,0.6674,0.5726,0.60989,0.45675,,0.88345,0.82907,0.7717,0.65982,0.58221,0.56491,0.52827,0.59418,0.55612
Project 53,0.88649,0.83231,0.75704,0.74556,0.63969,0.65094,0.60937,0.49821,0.57056,,0.9196,0.83231,0.75429,0.65116,0.56782,0.56048,0.58137,0.53793,0.5546
Project 54,0.86528,0.80095,0.78878,0.71086,0.58355,0.61841,0.58603,0.51758,0.52418,,0.86528,0.78845,0.65943,0.57937,0.59492,0.61318,0.47833,0.5375,0.46817
Project 55,0.87038,0.81514,0.73343,0.56261,0.57996,0.5925,0.49356,0.48632,0.52475,,0.88244,0.82445,0.73807,0.69573,0.67585,0.5703,0.69031,0.5837,0.52499
Project 56,0.71492,0.65058,0.6168,0.5312,0.54062,0.43285,0.47425,0.35535,0.30753,,0.72148,0.70758,0.62845,0.53692,0.44232,0.46608,0.41677,0.45603,0.43
